51	Banjara Hills	Rd no.2 Banjara Hills	In between Green Mosque to Jubleehills checkpost	17.4177	78.4399	\N
52	Banjara Hills	Rethi Bowli to Shaikpet Nala	Rethi bowli, nanal nagar, moghal residency, toli chowki and galaxy	17.4177	78.4399	\N
53	Asif nagar	S.A.bazar to M.J.market	Osmangunj	24.921	67.0755	\N
54	Goshamahal	Sailing club to CTO, M.G.road	CTO	17.3806	78.4688	\N
55	Begumpet	Salarjung Rotary towards Nayapool	Salarjung	17.444	78.4625	\N
56	Mirchowk	Plaza X Roads	Sardar patel road	23.0883	72.5918	\N
57	MCH swimming pool bus stop	Mahankali	St. AnnÃ¢Â€Â™s school bollaram to Bollaram checkpost	\N	\N	\N
58	Bollaram Check post.	Trimulgherry	St.mary road	18.1609	78.0699	\N
59	Near Manohar talkies	Mahankali	Tadbund to Bowenpally	\N	\N	\N
60	Chinnathokata	Trimulgherry	Tarnaka to Habsiguda X Roads	\N	\N	\N
